Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2018,Maruti,Wagon R 1.0 VXI AMT,998,No,Automatic,99726,1,Petrol,13,5
2021,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,No,Automatic,57002,1,Petrol,6,3
2017,Maruti,Alto 800 LXI,796,Yes,Manual,63989,2,Petrol,14,5
2016,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,93648,3,Petrol,8,0
2014,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,76186,1,Petrol,9,8
2012,Maruti,Wagon R 1.0 LXI,998,No,Manual,76750,1,Petrol,9,8
2018,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,50723,2,Petrol,6,3
2018,Maruti,Swift VXI,1197,Yes,Manual,78023,1,Petrol,5,2
2018,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,52856,2,Petrol,7,1
2016,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,48242,2,Petrol,8,3
2021,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,46568,1,Petrol,4,3
2019,Maruti,Swift ZXI PLUS AMT,1197,Yes,Automatic,90696,1,Petrol,18,1
2011,Maruti,Alto K10 VXI,998,Yes,Manual,81585,2,Petrol,2,13
2018,Maruti,Swift ZXI PLUS AMT,1197,Yes,Automatic,49070,1,Petrol,5,2
2022,Maruti,Dzire VXI,1197,Yes,Manual,35844,1,Petrol,5,1
2019,Maruti,Dzire VXI AMT,1197,No,Automatic,41666,1,Petrol,6,3
2013,Maruti,Ritz ZDI,1248,Yes,Manual,82552,1,Diesel,10,3
2017,Maruti,Alto 800 LXI,796,No,Manual,96161,2,Petrol,0,0
2021,Maruti,Vitara Brezza ZXI PLUS AT DUAL TONE SHVS,1462,No,Automatic,68282,1,Petrol,0,0
2022,Maruti,Vitara Brezza ZXI PLUS AT SHVS,1462,Yes,Automatic,24794,1,Petrol,3,1
2017,Maruti,Swift LXI (O),1197,No,Manual,98274,2,Petrol,0,0
2017,Maruti,Alto 800 LXI,796,Yes,Manual,47179,1,Petrol,7,2
2021,Maruti,Alto VXI PLUS,796,Yes,Manual,24381,2,Petrol,6,3
2020,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,47699,1,Petrol,10,5
2021,Maruti,Alto VXI,796,Yes,Manual,45381,1,Petrol,7,3
2017,Maruti,Alto 800 VXI,796,Yes,Manual,66467,2,Petrol,17,6
2018,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,77148,1,Petrol,5,3
2021,Maruti,Swift LXI,1197,No,Manual,29057,1,Petrol,7,5
2022,Maruti,Alto K10 VXI,998,Yes,Manual,22864,1,Petrol,2,0
2016,Maruti,Vitara Brezza ZDI,1248,Yes,Manual,76173,1,Diesel,6,0
2017,Maruti,Celerio VXI,998,Yes,Manual,90417,1,Petrol,8,4
2023,Maruti,Baleno ALPHA PETROL 1.2,1197,Yes,Manual,28570,1,Petrol,0,0
2017,Maruti,Baleno ALPHA PETROL 1.2,1197,Yes,Manual,61462,1,Petrol,2,0
2019,Maruti,Baleno ZETA PETROL 1.2,1197,No,Manual,55295,2,Petrol,2,1
2013,Maruti,Alto 800 LXI,796,Yes,Manual,49551,2,Petrol,3,6
